,HalfHourId,From [UTC (+00:00)],To [UTC (+00:00)],Intensity [gCO2/kWh],Datetime,Avg. Elec. Power [kW],Avg. Elec. Consumption [kWh],Carbon Footprint [gCO2eq]
0,1,2019-11-25T00:00Z,2019-11-25T00:30Z,200,2019-11-25 00:15:00,-100.0,-50.0,-10000.0
1,2,2019-11-25T00:30Z,2019-11-25T01:00Z,198,2019-11-25 00:45:00,-100.0,-50.0,-9900.0
2,3,2019-11-25T01:00Z,2019-11-25T01:30Z,189,2019-11-25 01:15:00,-100.0,-50.0,-9450.0
3,4,2019-11-25T01:30Z,2019-11-25T02:00Z,191,2019-11-25 01:45:00,-67.62705791459678,-33.81352895729839,-6458.384030843992
4,5,2019-11-25T02:00Z,2019-11-25T02:30Z,193,2019-11-25 02:15:00,0.0,0.0,0.0
5,6,2019-11-25T02:30Z,2019-11-25T03:00Z,197,2019-11-25 02:45:00,0.0,0.0,0.0
6,7,2019-11-25T03:00Z,2019-11-25T03:30Z,193,2019-11-25 03:15:00,0.0,0.0,0.0
7,8,2019-11-25T03:30Z,2019-11-25T04:00Z,193,2019-11-25 03:45:00,111.68440995975206,55.84220497987603,10777.545561116074
8,9,2019-11-25T04:00Z,2019-11-25T04:30Z,194,2019-11-25 04:15:00,690.9169995178007,345.45849975890036,67018.94895322667
9,10,2019-11-25T04:30Z,2019-11-25T05:00Z,199,2019-11-25 04:45:00,1270.1495890758495,635.0747945379247,126379.88411304702
10,11,2019-11-25T05:00Z,2019-11-25T05:30Z,207,2019-11-25 05:15:00,1561.1536539911483,780.5768269955742,161579.40318808384
11,12,2019-11-25T05:30Z,2019-11-25T06:00Z,230,2019-11-25 05:45:00,1559.6209706014924,779.8104853007462,179356.41161917162
12,13,2019-11-25T06:00Z,2019-11-25T06:30Z,255,2019-11-25 06:15:00,0.0,0.0,0.0
13,14,2019-11-25T06:30Z,2019-11-25T07:00Z,272,2019-11-25 06:45:00,0.0,0.0,0.0
14,15,2019-11-25T07:00Z,2019-11-25T07:30Z,283,2019-11-25 07:15:00,0.0,0.0,0.0
15,16,2019-11-25T07:30Z,2019-11-25T08:00Z,283,2019-11-25 07:45:00,0.0,0.0,0.0
16,17,2019-11-25T08:00Z,2019-11-25T08:30Z,278,2019-11-25 08:15:00,0.0,0.0,0.0
17,18,2019-11-25T08:30Z,2019-11-25T09:00Z,277,2019-11-25 08:45:00,0.0,0.0,0.0
18,19,2019-11-25T09:00Z,2019-11-25T09:30Z,278,2019-11-25 09:15:00,0.0,0.0,0.0
19,20,2019-11-25T09:30Z,2019-11-25T10:00Z,273,2019-11-25 09:45:00,-31.009028501736882,-15.504514250868441,-4232.732390487085
20,21,2019-11-25T10:00Z,2019-11-25T10:30Z,270,2019-11-25 10:15:00,-191.80022300279958,-95.90011150139979,-25893.030105377944
21,22,2019-11-25T10:30Z,2019-11-25T11:00Z,270,2019-11-25 10:45:00,-352.59141750386226,-176.29570875193113,-47599.841363021405
22,23,2019-11-25T11:00Z,2019-11-25T11:30Z,272,2019-11-25 11:15:00,-433.91620255650184,-216.95810127825092,-59012.60354768425
23,24,2019-11-25T11:30Z,2019-11-25T12:00Z,283,2019-11-25 11:45:00,-419.8529988054217,-209.92649940271085,-59409.19933096717
24,25,2019-11-25T12:00Z,2019-11-25T12:30Z,285,2019-11-25 12:15:00,-440.74018477901006,-220.37009238950503,-62805.47633100893
25,26,2019-11-25T12:30Z,2019-11-25T13:00Z,289,2019-11-25 12:45:00,-414.3685837890468,-207.1842918945234,-59876.26035751726
26,27,2019-11-25T13:00Z,2019-11-25T13:30Z,290,2019-11-25 13:15:00,-427.33334082303776,-213.66667041151888,-61963.33441934048
27,28,2019-11-25T13:30Z,2019-11-25T14:00Z,291,2019-11-25 13:45:00,-430.0423544968206,-215.0211772484103,-62571.162579287404
